Fecha,Trimestre,Fiscal Quarter End,EPS estimado,EPS real
2020-01-28,Q1 2020,2019-12-31,1.13,1.25
2020-04-30,Q2 2020,2020-03-31,0.52,0.64
2020-07-30,Q3 2020,2020-06-30,0.51,0.64
2020-10-29,Q4 2020,2020-09-30,0.69,0.73
2021-01-27,Q1 2021,2020-12-31,1.41,1.68
2021-04-28,Q2 2021,2021-03-31,1.0,1.4
2021-07-27,Q3 2021,2021-06-30,1.0,1.3
2021-10-28,Q4 2021,2021-09-30,1.24,1.24
2022-01-27,Q1 2022,2021-12-31,1.89,2.1
2022-04-28,Q2 2022,2022-03-31,1.43,1.52
2022-07-28,Q3 2022,2022-06-30,1.14,1.2
2022-10-27,Q4 2022,2022-09-30,1.26,1.29
2023-02-02,Q1 2023,2022-12-31,1.93,1.88
2023-05-04,Q2 2023,2023-03-31,1.44,1.52
2023-08-03,Q3 2023,2023-06-30,1.19,1.26
2023-11-02,Q4 2023,2023-09-30,1.39,1.46
2024-02-01,Q1 2024,2023-12-31,2.09,2.18
2024-05-02,Q2 2024,2024-03-31,1.51,1.53
2024-08-01,Q3 2024,2024-06-30,1.34,1.4
2024-10-31,Q4 2024,2024-09-30,1.49,1.64
2025-01-30,Q1 2025,2024-12-31,2.36,2.4
2025-05-01,Q2 2025,2025-03-31,1.61,1.65
